SERIALNO,PWGTP,age,gender,marriage_status,income
136630,73,0,Female,Never married or under 15 years old,
136630,98,9,Male,Never married or under 15 years old,
137172,178,34,Female,Married,60000.0
137172,202,36,Male,Married,54000.0
137172,136,4,Male,Never married or under 15 years old,
137298,89,41,Male,Married,132000.0
137298,85,41,Female,Married,68000.0
137298,73,13,Male,Never married or under 15 years old,
137298,65,11,Female,Never married or under 15 years old,
137661,17,32,Female,Never married or under 15 years old,30000.0
137661,40,35,Male,Never married or under 15 years old,55000.0
138434,91,24,Male,Never married or under 15 years old,90000.0
139619,82,31,Male,Never married or under 15 years old,75000.0
139619,116,30,Female,Divorced,34000.0
139627,58,60,Male,Married,8000.0
139627,67,57,Female,Married,70000.0
140029,28,88,Male,Married,0.0
140029,38,85,Female,Married,0.0
140620,117,57,Male,Married,70000.0
140620,130,49,Female,Married,34000.0
140620,225,20,Female,Never married or under 15 years old,22000.0
140620,134,16,Female,Never married or under 15 years old,0.0
140808,60,25,Male,Married,8000.0
141433,82,53,Female,Married,30000.0
141433,43,68,Male,Married,40800.0
143100,66,38,Female,Married,28000.0
143100,51,44,Male,Married,40000.0
143100,45,8,Female,Never married or under 15 years old,
143100,81,4,Female,Never married or under 15 years old,
143100,65,3,Male,Never married or under 15 years old,
143100,80,25,Female,Never married or under 15 years old,500.0
143297,31,44,Female,Divorced,54000.0
143297,21,17,Male,Never married or under 15 years old,4000.0
143701,121,79,Female,Divorced,0.0
144895,55,58,Male,Never married or under 15 years old,0.0
146106,93,57,Male,Married,75000.0
146106,110,58,Female,Married,30000.0
146265,16,62,Male,Divorced,34000.0
146268,57,57,Female,Married,56000.0
146268,61,58,Male,Married,66000.0
148564,198,93,Female,Widowed,0.0
149101,58,53,Male,Married,52000.0
149101,67,62,Female,Married,0.0
149574,50,57,Male,Divorced,0.0
149859,77,74,Male,Married,0.0
149859,85,75,Female,Married,0.0
150353,118,47,Male,Divorced,48000.0
151680,87,42,Female,Separated,32000.0
151680,121,52,Male,Divorced,112000.0
151680,47,15,Male,Never married or under 15 years old,0.0
151680,95,11,Male,Never married or under 15 years old,
151982,420,44,Female,Separated,34000.0
151982,469,5,Female,Never married or under 15 years old,
153147,17,60,Female,Married,70000.0
154043,106,52,Male,Never married or under 15 years old,38500.0
155763,41,39,Male,Never married or under 15 years old,30000.0
156032,188,63,Female,Widowed,24000.0
156521,26,66,Female,Divorced,8400.0
157172,236,71,Female,Divorced,0.0
158304,72,39,Female,Divorced,24000.0
158304,90,10,Male,Never married or under 15 years old,
158304,89,9,Male,Never married or under 15 years old,
158482,98,84,Female,Widowed,0.0
158975,12,43,Male,Married,85000.0
158975,13,37,Female,Married,0.0
158975,10,14,Female,Never married or under 15 years old,
159380,59,79,Female,Divorced,0.0
160841,15,57,Female,Married,48000.0
160841,14,60,Male,Married,112000.0
161004,87,23,Female,Married,12000.0
161004,108,22,Male,Married,8000.0
162989,62,39,Female,Married,50000.0
162989,49,31,Male,Married,35000.0
163524,126,19,Male,Never married or under 15 years old,10000.0
163533,55,18,Female,Never married or under 15 years old,1500.0
163869,74,79,Male,Married,0.0
163869,88,76,Female,Married,52000.0
164671,166,69,Female,Divorced,12000.0
164788,150,93,Female,Widowed,0.0
164820,52,49,Female,Divorced,28000.0
164820,107,59,Female,Never married or under 15 years old,31000.0
165242,87,56,Female,Divorced,90000.0
165242,139,82,Female,Widowed,0.0
165654,65,25,Male,Married,69000.0
165654,85,22,Female,Married,0.0
165654,61,0,Female,Never married or under 15 years old,
166163,170,33,Male,Married,188000.0
166163,289,31,Female,Married,15000.0
166163,210,13,Male,Never married or under 15 years old,
166163,209,10,Male,Never married or under 15 years old,
166326,138,36,Female,Divorced,44000.0
166326,101,4,Male,Never married or under 15 years old,
166933,51,71,Female,Widowed,0.0
166933,96,26,Male,Never married or under 15 years old,42000.0
169287,83,56,Female,Married,20400.0
169287,68,56,Male,Married,25000.0
169287,130,21,Female,Never married or under 15 years old,5000.0
170094,49,38,Female,Married,0.0
170094,57,40,Male,Married,850.0
170094,48,16,Female,Never married or under 15 years old,0.0
170094,47,11,Male,Never married or under 15 years old,
170094,58,18,Male,Never married or under 15 years old,0.0
170094,49,16,Male,Never married or under 15 years old,0.0
170187,84,19,Female,Never married or under 15 years old,20000.0
170187,74,21,Female,Never married or under 15 years old,4800.0
170187,73,20,Female,Never married or under 15 years old,4000.0
170187,75,20,Female,Never married or under 15 years old,6000.0
171247,17,80,Female,Married,0.0
171247,32,82,Male,Married,0.0
172026,122,26,Male,Never married or under 15 years old,34000.0
172639,27,46,Male,Married,75000.0
172639,20,36,Male,Married,75000.0
173236,119,53,Female,Married,3500.0
173236,58,66,Male,Married,0.0
173655,60,57,Male,Married,0.0
173655,80,52,Female,Married,0.0
174262,67,64,Male,Divorced,0.0
174396,45,44,Female,Married,14400.0
174396,67,40,Male,Married,72000.0
174396,53,13,Male,Never married or under 15 years old,
174691,132,32,Male,Never married or under 15 years old,105000.0
174691,108,28,Female,Never married or under 15 years old,8000.0
174994,25,19,Male,Never married or under 15 years old,0.0
175285,93,51,Male,Married,0.0
175285,61,49,Female,Married,46000.0
175285,90,80,Female,Widowed,0.0
176268,42,69,Female,Married,0.0
176268,54,70,Male,Married,0.0
176764,114,47,Female,Married,32000.0
176764,95,49,Male,Married,42000.0
176764,85,14,Female,Never married or under 15 years old,
177904,91,81,Male,Married,0.0
177904,125,73,Female,Married,0.0
178420,15,63,Female,Married,0.0
178420,12,67,Male,Married,0.0
178854,39,63,Male,Married,33400.0
178854,68,63,Female,Married,0.0
179281,37,43,Female,Married,55000.0
179281,18,55,Male,Married,21400.0
179281,6,19,Male,Never married or under 15 years old,6900.0
179281,6,18,Male,Never married or under 15 years old,200.0
179281,38,13,Female,Never married or under 15 years old,
179281,38,6,Female,Never married or under 15 years old,
179432,100,64,Male,Married,0.0
179432,116,64,Female,Married,0.0
179432,76,40,Male,Never married or under 15 years old,37600.0
179803,20,64,Male,Married,0.0
179803,19,62,Female,Married,41000.0
179803,40,6,Female,Never married or under 15 years old,
180551,158,43,Male,Married,20000.0
180551,86,45,Female,Married,0.0
180551,203,24,Male,Never married or under 15 years old,9000.0
180737,480,57,Male,Never married or under 15 years old,70000.0
180858,31,88,Female,Widowed,0.0
